NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2019 The Lacquer Project Authors (https://github.com/Lacquer-Font/Lacquer)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Lacquer	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.100;NONE;Lacquer-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Lacquer Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.100	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Lacquer-Regular	(3, 1, 1033, 6)
Designer	Windows	Unicode BMP	English (United States)	Eli Block, Niki Polyocan	(3, 1, 1033, 9)
Designer URL	Windows	Unicode BMP	English (United States)	http://eli-block.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
