NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Name ID [256]	Macintosh	Roman	English	Weight	(1, 0, 0, 256)
Name ID [257]	Macintosh	Roman	English	ExtraLight	(1, 0, 0, 257)
Name ID [258]	Macintosh	Roman	English	Light	(1, 0, 0, 258)
Name ID [259]	Macintosh	Roman	English	Regular	(1, 0, 0, 259)
Name ID [260]	Macintosh	Roman	English	Bold	(1, 0, 0, 260)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2010 The Yanone Kaffeesatz Project Authors (https://github.com/alexeiva/yanone-kaffeesatz)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Yanone Kaffeesatz ExtraLight	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	2.001;NONE;YanoneKaffeesatz-ExtraLight	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Yanone Kaffeesatz ExtraLight	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.001; ttfautohint (v1.8.1.43-b0c9)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	YanoneKaffeesatz-ExtraLight	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Yanone	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Yanone (Cyrillic: Daniel Pouzeot, Huerta Tipografica, and Cyreal)	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://yanone.de	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://yanone.de	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Yanone Kaffeesatz	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	ExtraLight	(3, 1, 1033, 17)
Name ID [256]	Windows	Unicode BMP	English (United States)	Weight	(3, 1, 1033, 256)
Name ID [257]	Windows	Unicode BMP	English (United States)	ExtraLight	(3, 1, 1033, 257)
Name ID [258]	Windows	Unicode BMP	English (United States)	Light	(3, 1, 1033, 258)
Name ID [259]	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 259)
Name ID [260]	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 260)
Name ID [261]	Windows	Unicode BMP	English (United States)	Roman	(3, 1, 1033, 261)
