NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2011 by Gesine Todt. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Amaranth	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Bold Italic	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.001;UKWN;Amaranth-BoldItalic	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Amaranth Bold Italic	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.001	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Amaranth-BoldItalic	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Amaranth Bold Italic is a trademark of Gesine Todt.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Gesine Todt	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Gesine Todt	(1, 0, 0, 9)
Designer URL	Macintosh	Roman	English	http://www.gesine-todt.de	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1.	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2011 by Gesine Todt. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Amaranth	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.001;UKWN;Amaranth-BoldItalic	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Amaranth Bold Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.001	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Amaranth-BoldItalic	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Amaranth Bold Italic is a trademark of Gesine Todt.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Gesine Todt	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Gesine Todt	(3, 1, 1033, 9)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.gesine-todt.de	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1.	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
