NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2012 Andhrapradesh Society for Knowledge Networks (fonts.siliconandhra.org). Copyright (c) 2014 Google, Inc.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Dhurjati	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Dhurjati:Version 1.0.5	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Dhurjati	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.0.5; ttfautohint (v1.2.25-373a) -l 7 -r 28 -G 50 -x 13 -D telu -f latn -w G -X ""	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Dhurjati	(1, 0, 0, 6)
Manufacturer	Macintosh	Roman	English	Andhrapradesh Society for Knowledge Networks	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Purushoth Kumar Guthula	(1, 0, 0, 9)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Compatible Full Name	Macintosh	Roman	English	Dhurjati	(1, 0, 0, 18)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2012 Andhrapradesh Society for Knowledge Networks (fonts.siliconandhra.org)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Dhurjati	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Dhurjati:Version 1.0.5	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Dhurjati	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.0.5; ttfautohint (v1.2.25-373a) -l 7 -r 28 -G 50 -x 13 -D telu -f latn -w G -X ""	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Dhurjati	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Andhrapradesh Society for Knowledge Networks	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Purushoth Kumar Guthula	(3, 1, 1033, 9)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Compatible Full Name	Windows	Unicode BMP	English (United States)	Dhurjati	(3, 1, 1033, 18)
