NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	MS	BMP	English (U.S.)	Copyright 2020 The Kiwi Maru Project Authors (https://github.com/Kiwi-KawagotoKajiru/Kiwi-Maru)	(3, 1, 1033, 0)
Family	MS	BMP	English (U.S.)	Kiwi Maru Medium	(3, 1, 1033, 1)
Subfamily	MS	BMP	English (U.S.)	Regular	(3, 1, 1033, 2)
Unique ID	MS	BMP	English (U.S.)	1.000;KWKK;KiwiMaru-Medium	(3, 1, 1033, 3)
Full Name	MS	BMP	English (U.S.)	Kiwi Maru Medium	(3, 1, 1033, 4)
Version	MS	BMP	English (U.S.)	Version 1.000; ttfautohint (v1.8.3)	(3, 1, 1033, 5)
Postscript	MS	BMP	English (U.S.)	KiwiMaru-Medium	(3, 1, 1033, 6)
Designer	MS	BMP	English (U.S.)	Hiroki-Chan	(3, 1, 1033, 9)
URL Vendor	MS	BMP	English (U.S.)	https://kiwi-kawagoto.com	(3, 1, 1033, 11)
URL Designer	MS	BMP	English (U.S.)	https://kiwi-kawagoto.com	(3, 1, 1033, 12)
License Description	MS	BMP	English (U.S.)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL	(3, 1, 1033, 13)
License Info URL	MS	BMP	English (U.S.)	https://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family name	MS	BMP	English (U.S.)	Kiwi Maru	(3, 1, 1033, 16)
Typographic Subfamily name	MS	BMP	English (U.S.)	Medium	(3, 1, 1033, 17)
Family	MS	BMP	Japanese	キウイ 丸	(3, 1, 1041, 1)
